From Type,From Name,Edge Type,To Type,To Name,Date,Weight,NRS Reference
Person,Hamilton,WROTE LETTER TO,Person,Arran,"1688, Aug 16",,GD406/1/7600
Person,Sunderland,WROTE LETTER TO,Person,Arran,"1690, Jun 29",,GD406/1/7602
Person,Arran,WROTE LETTER TO,Person,Mr. Robert Murray of Tippermuir,"1691, Nov 12",,GD406/1/7613
Person,Arran,WROTE LETTER TO,Person,Lady Elizabeth Clancarty,c 1692,,GD406/1/7615
Person,Arran,WROTE LETTER TO,Person,Mr. Robert Murray of Tippermuir,c 1691,,GD406/1/7616
Person,Countess of Sunderland,WROTE LETTER TO,Person,Arran,"1690, Jun 29",,GD406/1/7633
Person,Countess of Sunderland,WROTE LETTER TO,Person,Arran,"1690, Mar 20",,GD406/1/7635
Person,Countess of Sunderland,WROTE LETTER TO,Person,Arran,c 1690,,GD406/1/7636
Person,Atholl,WROTE LETTER TO,Person,Unknown,"1690, May 26",,GD406/1/7637
Person,Sunderland,WROTE LETTER TO,Person,Arran,"1690, Jan 21",,GD406/1/7639
Person,Sunderland,WROTE LETTER TO,Person,Arran,"1689, Nov 4",,GD406/1/7640
Person,Sunderland,WROTE LETTER TO,Person,Arran,"1690, Feb 14",,GD406/1/7641
Person,George Hamilton,WROTE LETTER TO,Person,Arran,"1692, Feb 11",,GD406/1/7658
Person,George Hamilton,WROTE LETTER TO,Person,Arran,"1692, Mar 15",,GD406/1/7659
Person,George Hamilton,WROTE LETTER TO,Person,Arran,"1692, Feb 25",,GD406/1/7660
Person,Selkirk,WROTE LETTER TO,Person,Arran,"1691, Dec 31",,GD406/1/7685
Person,Selkirk,WROTE LETTER TO,Person,Arran,"1691, Nov 24",,GD406/1/7686
Person,Selkirk,WROTE LETTER TO,Person,Arran,"1692, Jan 2",,GD406/1/7687
Person,Selkirk,WROTE LETTER TO,Person,Arran,"1692, Jan 14",,GD406/1/7688
Person,Selkirk,WROTE LETTER TO,Person,Arran,"1692, Jan 16",,GD406/1/7689
Person,Selkirk,WROTE LETTER TO,Person,Arran,"1692, Jan 19",,GD406/1/7690
Person,Selkirk,WROTE LETTER TO,Person,Arran,"1692, Feb 11",,GD406/1/7691
Person,Archibald Hamilton,WROTE LETTER TO,Person,Arran,"1691, Oct 30",,GD406/1/7692
Person,Archibald Hamilton,WROTE LETTER TO,Person,Arran,"1691, Oct 13",,GD406/1/7693
Person,Tullibardine,WROTE LETTER TO,Person,Arran,c 1690,,GD406/1/7696
Person,Arran,WROTE LETTER TO,Person,Clare,c 1691,,GD406/1/7716
Person,Arran,WROTE LETTER TO,Person,Unknown,c 1691,,GD406/1/7718
Person,Arran,WROTE LETTER TO,Person,Robert Murray,c 1691,,GD406/1/7719
Person,Selkirk,WROTE LETTER TO,Person,Arran,"1692, Feb 27",,GD406/1/7742
Person,Arran,WROTE LETTER TO,Person,Hamilton,"1688, Feb 14",,GD406/1/7746
Person,Hamilton,Order,Person,George Clerk,"1691, Sep 29",,GD406/1/7758
Person,Arran,WROTE LETTER TO,Person,Hamilton,c 1691,,GD406/1/7765
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1688, Jan 5",,GD406/1/7806
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1688, Jan 7",,GD406/1/7807
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1688, Jan 12",,GD406/1/7808
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1688, Jan 17",,GD406/1/7809
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1688, Jan 21",,GD406/1/7810
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1688, Jan 31",,GD406/1/7811
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1688, Feb 5",,GD406/1/7812
Person,Hamilton,WROTE LETTER TO,Person,Unknown,"1689, Jun 11",,GD406/1/7813
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Nov 7",,GD406/1/7814
Person,Selkirk,WROTE LETTER TO,Person,Arran,"1692, Mar 1",,GD406/1/7827
Person,Duchess of Hamilton,WROTE LETTER TO,Person,Arran,"1688, Jan",,GD406/1/7832
Person,Archibald Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Feb",,GD406/1/7941
Person,Marlborough,WROTE LETTER TO,Person,Arran,c 1688,,GD406/1/8185
Person,Argyll,WROTE LETTER TO,Person,Arran,c 1690,,GD406/1/8258
Person,W. Livingston,WROTE LETTER TO,Person,Hamilton,"1689, Sep 3",,GD406/1/8366
Person,Arran,WROTE LETTER TO,Person,Duchess of Hamilton,"1688, Jan 10",,GD406/1/8378
Person,Countess of Cassillis,WROTE LETTER TO,Person,Duchess of Hamilton,"1690, May 17",,GD406/1/8384
Person,King William,WROTE LETTER TO,Organization,Privy Council,c 1689,,GD406/1/8443
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Nov 23",,GD406/1/8454
Person,Arran,WROTE LETTER TO,Person,Duchess of Hamilton,"1691-1693, Dec 14",,GD406/1/8465
Person,Countess of Cassillis,WROTE LETTER TO,Person,Duchess of Hamilton,"1689, Jul 1",,GD406/1/8578
Person,Hamilton,WROTE LETTER TO,Person,Duchess of Hamilton,"1688, Jan 6",,GD406/1/8799
Person,Countess of Sunderland,WROTE LETTER TO,Person,Duchess of Hamilton,"1688, Jan 12",,GD406/1/8803
Person,Duchess of Hamilton,WROTE LETTER TO,Person,Countess of Arran,"1688, Jan 24",,GD406/1/8804
Person,Unknown,WROTE LETTER TO,Person,Lady Gerard,c 1688,,GD406/1/8828
Person,Gilbert Burnet,WROTE LETTER TO,Person,Hamilton,c 1691,,GD406/1/8862
Group,"George Lockhart, Carnwarth",WROTE LETTER TO,Person,Hamilton,"1688, Jun 28",,GD406/1/8916
Thing,Newsletter,Communicated,Person,Hamilton,"1690, May 12",,GD406/1/8941
Thing,Newsletter,Communicated,Person,Hamilton,"1690, May 15",,GD406/1/8967
Person,Madam de Schomberg,WROTE LETTER TO,Person,Arran,n.d.,,GD406/1/8987
Person,Schomberg,WROTE LETTER TO,Person,Arran,n.d.,,GD406/1/8989
Person,Barrellon,WROTE LETTER TO,Person,Arran,"1688, Nov 24",,GD406/1/8990
Person,Melfort,WROTE LETTER TO,Person,Balcarres,"1689, Mar 30",,GD406/1/9138
Person,Melfort,WROTE LETTER TO,Person,Dundee,"1689, Mar 29",,GD406/1/9139
