Edge Type,From Location,To Location,Date
Letter,Holyrood House,Kensington,"1692, Mar 3"
Letter,Holyrood House,Kensington,"1692, May 14"
Letter,Whitehall,,"1691, Jun"
Letter,,,"1692, Nov 10"
Letter,,,1692
Letter,Aberdeen,,1689
Letter,London,,"1691, Dec 12"
Letter,London,,"1691, Dec 15"
Letter,London,,"1691, Dec 17"
Letter,London,,"1691, Dec 17"
Letter,London,,"1691, Dec 22"
Letter,London,,"1691, Dec 24"
Letter,London,,"1691, Dec 26"
Letter,London,,"1691, Dec 31"
Letter,London,,"1692, Jan 2"
Letter,London,,"1692, Jan 5"
Letter,London,,"1692, Jan 7"
Letter,London,,"1692, Jan 9"
Letter,London,,"1692, Jan 12"
Letter,London,,"1692, Jan 14"
Letter,London,,"1692, Jan 16"
Letter,London,,"1692, Jan 19"
Letter,London,,"1692, Jan 21"
Letter,Kensington,,"1692, Jan 23"
Letter,London,,"1692, Feb 11"
Letter,London,,"1692, Feb 19"
Letter,London,,"1692, Feb 25"
Letter,London,,"1692, Feb 27"
Letter,Hague,,"1692, Mar 28"
Letter,Loo,,"1692, Apr 7"
Letter,Loo,,"1692, Apr 10"
Letter,Hague,,"1692, May 7"
Letter,Breda,,"1692, May 16"
Letter,Brussells,,"1692, May 19"
Letter,Brousterland,,"1691, Feb 18"
Letter,,,"1690, Jun 6"
Letter,Harlington,,"1691, Mar 24"
Letter,Stafford,Sandon,"1690, Jun 1"
Letter,,,"1691, Jun 17"
Letter,,,"1688, Jan 27"
Letter,,,"1690, Aug 2"
Letter,,,"1689, Jul 20"
Letter,,,"1689, Jul 30"
Letter,Durance,,"1689, Feb 14"
Letter,London,,"1689, Feb 14"
Letter,,,1688
Letter,,Sandon,"1688, Oct 14"
Letter,,,"1691, Apr 11"
Letter,Stingboun,,"1691, Sep 14"
Letter,Old Sprin Garden,,"1690, Jul 29"
Letter,Kirkudbright,,"1691, Aug 11"
Letter,,,"1690, Jul 24"
Letter,,,"1690, Oct 15"
Letter,,,"1690, Oct 28"
Letter,,,"1691, Sep 26"
Letter,,,"1691, Sep 16"
Letter,,,"1690, Oct 14"
Letter,,,"1690, Feb 15"
Letter,,,"1690, Oct 30"
Letter,Sher,,"1691, Apr 6"
Letter,,,"1691, Apr 18"
Letter,Lauchop,Lanark,"1688, Sep 27"
Letter,Tannochside,Lanark,"1688, Sep 25"
Letter,,Hamilton,"1688, Sep 1"
Letter,Broombie,,"1688, Sep 26"
Letter,Netherfield,Lanark,"1688, Sep 25"
Letter,Delphington,,"1688, Jul 10"
Letter,Alanton,,"1688, Oct 4"
Letter,London,,"1688, May 1"
Letter,London,,"1688, May 22"
Letter,,,"1690, Mar 16"
Letter,,,"1689, Nov 19"
Letter,,,"1690, Jun 14"
Letter,,,"1692, Jan 25"
Letter,Lychfield,,"1691, Jun 28"
Letter,,,1689
Letter,,,"1690, Feb 15"
Report,,,"1689, Sep 21"
Letter,,,1689
Letter,,,"1689, October 5"
Letter,,,1689
Letter,,,1689
Letter,,,"1689, June 8"
Letter,,,"1689, September 17"
Letter,,,"1690, January 6"
Letter,,,"1689, December 10"
Letter,,,1689
Letter,London,,"1691, May 18"
Letter,,,"1689, May 8"
Letter,Drayton,,"1689, June 6"
Letter,London,,"1690, March 20"
Letter,,,1689
Letter,,,"1689, June 28"
Letter,,,1689
Letter,London,,"1690, April 29"
Letter,,,"1690, February 1"
Letter,,,"1691, May 7"
Letter,,,"1690, January 30"
Letter,,,"1688, February 15"
Letter,,,"1690, April 7"
Letter,,,"1690, January 21"
Letter,,,1689
Letter,London,,"1691, May 19"
Letter,,,1690
Letter,,,1690
Letter,,,"1690, May 1"
Letter,Litchfield,,"1690, February 21"
Letter,,,"1690, February 27"
Letter,,,"1690, March 19"
Letter,Harlington,,1690
Letter,,,"1691, February 28"
Letter,,,"1690, May 22"
Letter,Litchfield,,"1690, May 7"
Letter,London,,"1691, March 12"
Letter,"Post Office, London",,"1691, April 16"
Letter,"Post Office, London",,"1691, May 26"
