From Type,From Place,From Name,Edge Type,To Type,To Place,To Name,Date,Weight,Identifier,
Person,,"Marie, Countess of Perth",Petition,Person,,Unknown,c. 1692,1,"NRS - families of Moray of Abercairny, Drummond of Blair Drummond, Home of Kames, and Stirling of Ardoch",
Person,Edinburgh,Perth,Letter,Person,Edinburgh Castle,Mar,"1688, May 21",1,"NRS - families of Moray of Abercairny, Drummond of Blair Drummond, Home of Kames, and Stirling of Ardoch",
Person,Edinburgh,Perth,Letter,Person,,Mar,"1688, Aug 15",1,NRS - Earls of Mar and Kellie,
Person,Edinburgh,Perth,Letter,Person,,Mar,"1688, Oct 1",1,NRS - Earls of Mar and Kellie,
Person,Edinburgh,Perth,Letter,Person,,Mar,"1688, Oct 15",1,NRS - Earls of Mar and Kellie,
Person,Edinburgh,Perth,Letter,Person,,Mar,"1688, Oct 19",1,NRS - Earls of Mar and Kellie,
Person,Edinburgh,Perth,Letter,Person,,Mar,"1688, Oct 31",1,NRS - Earls of Mar and Kellie,
Person,London,William Bennett,Letter,Person,London,Robert Boyle,1689,1,NRS - Papers of the Ogilvy family of Inverquharity,
Person,London,William Bennett,Letter,Person,London,William Bruce,1689,1,NRS - Papers of the Ogilvy family of Inverquharity,
Person,London,William Bennett,Letter,Person,London,William Bruce,1690,1,NRS - Papers of the Ogilvy family of Inverquharity,
Person,London,William Bennett,Letter,Person,Glasgow,Robert Macky,1690,2,NRS - Papers of the Ogilvy family of Inverquharity,
Person,London,William Bennett,Letter,Person,,Helen Maxwell,1690,1,NRS - Papers of the Ogilvy family of Inverquharity,
Person,London,William Bennett,Letter,Person,Edinburgh,John Aitkine,1692,2,NRS - Papers of the Ogilvy family of Inverquharity,
Person,Edinburgh,George Drummond,Letter,Person,,Breadalbane,"1691, Dec 19",1,NRS - Breadalbane Correspondence,
Person,,Breadalbane,Letter,Person,,Carwhin,1690 Feb,1,NRS - Breadalbane Correspondence,
