"From Type","From Name","Edge Type","To Type","To Name","Weight","From ID","Edge Type ID","To ID","Edge ID"
"Person","John Grierson","Letter","Person","Melville","1","6b39c7c1-009a-4a7e-a59e-d87196e026fb","9d957034-5dba-4505-a312-154a15d00bd0","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","f72b18f7-ac0c-4982-a5d1-257b52b0d61b"
"Person","Madam de Schomberg","Letter","Person","Arran","1","dd1fe205-1e5b-4094-bec2-3363b268e092","9d957034-5dba-4505-a312-154a15d00bd0","e8b02d95-be78-43e3-aa78-948e459cd9fe","7692d663-328e-40c1-b9b7-60aaf3549d01"
"Person","John Chapel","Letter","Person","Melville","2","72febb9f-6dcc-48e6-b2cd-5fd2604b4694","9d957034-5dba-4505-a312-154a15d00bd0","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","79d70718-9cfb-4713-ba1f-45e13dff5c70"
"Person","John MacKenzie","Letter","Person","Melville","1","e1ac0dac-e179-4e4d-a225-05a1fd5c0929","9d957034-5dba-4505-a312-154a15d00bd0","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","8cc448a2-910d-482f-b9f0-7a07e2ab2e97"
"Person","McNaughton","Letter","Person","Cornet James Crawford","1","2269a15b-5984-4f96-be37-9b0598129963","9d957034-5dba-4505-a312-154a15d00bd0","c2346313-0a11-40a5-bd0a-389c23a1986c","526a13eb-d5bf-4bbc-b899-80423518c40a"
"Person","Melville","Letter","Person","Hamilton","40","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","9d957034-5dba-4505-a312-154a15d00bd0","d35060fe-af98-4b3f-b4cb-2e71bea6b1ae","da2cc69f-c568-4a10-9cd7-c5bcc6511c3b"
"Person","Leven","Letter","Person","Countess of Leven","22","90a140c9-a62d-420b-bbad-b64672af4467","9d957034-5dba-4505-a312-154a15d00bd0","d6ba9e73-a3c4-4cb5-8f51-3d3e239e957d","d985dff1-4793-441d-a07b-3c0cbc967b95"
"Person","John Clark, younger","Letter","Person","John Clark","1","0ec8421c-1969-4b63-9c8c-c0f4491b4039","9d957034-5dba-4505-a312-154a15d00bd0","e17a80d3-51fd-47f0-b17c-0ac1715f5c2d","61d5583e-2721-4fb0-aae3-7ec648a33a75"
"Person","E. Foden","Letter","Person","Lady Gerard","1","19264cac-2289-4959-b9eb-4baed203a16b","9d957034-5dba-4505-a312-154a15d00bd0","16ad3896-f2fd-4c2c-a024-c94c68a1b31e","8a5b9711-c282-43ec-95e4-fe2c38262230"
"Person","Eglinton","Letter","Person","Melville","3","c3d4355a-ff70-4972-95c5-3b96f839b766","9d957034-5dba-4505-a312-154a15d00bd0","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","0d16a1e8-f4d6-4504-9896-7ada38cea4d9"
