"Node Type","Name","Description","Reference","Image","Node Type ID","Node ID"
"Person","John MacKenzie",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","e1ac0dac-e179-4e4d-a225-05a1fd5c0929"
"Person","Charles Oliphant",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","6e37c336-3a09-4318-ba11-ca55212bb293"
"Person","William Bruce",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","2d5c51b9-9a23-45ac-9a74-1d06615b036e"
"Person","William Riach",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","6043b5dd-105f-46cf-b93d-0cc73f445a03"
"Person","M. St Leger",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","54b70112-d640-410a-aa9f-62505868e357"
"Person","Lady Gerard",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","16ad3896-f2fd-4c2c-a024-c94c68a1b31e"
"Person","Unknown",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","51499f34-96db-46f3-b28a-c007cb43b8f2"
"Person","Hugh Kennedy",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","c9a773ee-81b5-44cc-b882-649cc5d4b8c0"
"Person","Andrew Schaw",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","16020855-7b5b-4c0d-8c95-882acd1f939e"
"Person","Alexander McDowall",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","9a0a97da-b9ca-496b-8788-816f548e78da"
"Person","John Walkinshaw",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","b5dd75e7-5a9b-4121-bbf1-fd760ac66b4f"
"Person","Jane Barker",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","6e9a85f5-b788-44b3-a523-5944542e796b"
"Person","Marie Arskin",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","33d7b2d7-97cb-4d9c-979f-cb686ad970a3"
"Person","George Gordon",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","2ab13f84-2819-4334-b0a4-991dca207a73"
"Person","Livingston of Kilsyth",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","6294c37e-15f8-4708-97d5-f605175599cb"
"Person","Viscount Massereene",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","91f90e8e-36ba-45f4-90a8-960b84f57859"
"Person","Breadalbane",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","6c011551-84a2-4b68-8e01-6b90b0c97ee2"
"Person","Laird McNaughton",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","be39114b-9e2e-4b7d-8d4f-6d116eecb63b"
"Person","Countess of Arran",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","c9c0c157-b0ee-4b97-93b8-a620b0a87d2d"
"Person","William Braithwaite",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","7c9912a8-55a4-4d88-9629-e451076a955d"
"Person","William Anderson",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","6861145c-e69c-48c3-9fda-7885d3496c15"
"Person","James Nisbit",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","0d8177a6-1469-4ecb-8fab-778173b086f0"
"Person","Sir Charles Graham",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","a2745697-5a14-4961-8c23-b39a8f72288d"
"Person","John Johnston",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","8b8d4a7e-d323-4832-9ce8-4b818c70a99f"
"Person","W. Erskine",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","1ed16fa5-3e2c-47e4-bb23-125cc1b6c76e"
"Person","Lt. Waddell",,,,"819d45d8-b56b-4440-b9bc-102abd600b23","62e15226-0de4-4de2-8219-f34ac8f46dee"
